Grupo,test,VG
GrupoB,w01,120
GrupoB,w02,146
GrupoB,w03,254
GrupoB,w04,280
GrupoB,w05,18
GrupoB,w06,179
GrupoB,w07,24
GrupoB,w08,114
GrupoB,w09,380
GrupoB,w10,330
GrupoB,w11,307
GrupoB,w12,330
GrupoB,w13,307
GrupoB,w14,21
GrupoB,w15,16
GrupoB,w16,22
GrupoB,w17,34
GrupoB,w18,78
GrupoB,w19,54
GrupoB,w20,98
GrupoB,w21,92
GrupoB,w22,34
GrupoB,w23,166
GrupoB,w24,82
GrupoB,w25,142
GrupoB,w26,176
GrupoB,w27,118
GrupoB,w28,18
GrupoB,w29,8
GrupoB,w30,30
GrupoB,w31,28
GrupoB,w32,36
GrupoB,w33,185
GrupoB,w34,185
GrupoB,w35,48
GrupoB,w36,48
GrupoB,w37,48
GrupoB,w38,48
GrupoB,w39,72
GrupoB,w40,28
GrupoB,w41,28
GrupoB,w42,28
GrupoB,w43,28
GrupoB,w44,28
GrupoB,w45,28
GrupoB,w46,36
GrupoB,w47,36
GrupoB,w48,36
GrupoB,w49,36
GrupoB,w50,76
GrupoB,w51,76
GrupoB,w52,76
GrupoB,w53,76
GrupoB,w54,36
GrupoB,w56,76
GrupoB,w57,76
GrupoB,w58,34
GrupoB,w59,34
GrupoB,w60,34
GrupoB,w61,48
GrupoB,w62,48
GrupoB,w63,297
GrupoB,w64,280
GrupoB,w65,276
GrupoB,w66,272
GrupoB,w67,276
GrupoB,w68,260
GrupoB,w69,4
GrupoB,w70,559
GrupoB,w71,235
GrupoB,w72,50
GrupoB,w73,48
GrupoB,w74,253
GrupoB,w75,157
GrupoB,w76,334
GrupoB,w77,69
GrupoB,w78,77
GrupoD,w01,76
GrupoD,w02,1563
GrupoD,w03,697
GrupoD,w04,27
GrupoD,w05,362
GrupoD,w06,55
GrupoD,w07,232
GrupoD,w08,233
GrupoD,w09,1897
GrupoD,w10,36
GrupoD,w11,54
GrupoD,w12,36
GrupoD,w13,54
GrupoD,w14,22
GrupoD,w15,22
GrupoD,w16,22
GrupoD,w17,655
GrupoD,w18,1057
GrupoD,w19,1063
GrupoD,w20,1465
GrupoD,w21,1846
GrupoD,w22,648
GrupoD,w23,1865
GrupoD,w24,1065
GrupoD,w25,1871
GrupoD,w26,2646
GrupoD,w27,1448
GrupoD,w28,374
GrupoD,w29,38
GrupoD,w30,763
GrupoD,w31,506
GrupoD,w32,646
GrupoD,w33,652
GrupoD,w34,652
GrupoD,w35,920
GrupoD,w36,920
GrupoD,w37,920
GrupoD,w38,920
GrupoD,w39,1468
GrupoD,w40,506
GrupoD,w41,506
GrupoD,w42,506
GrupoD,w43,506
GrupoD,w44,506
GrupoD,w45,506
GrupoD,w46,646
GrupoD,w47,646
GrupoD,w48,646
GrupoD,w49,646
GrupoD,w50,646
GrupoD,w51,646
GrupoD,w52,646
GrupoD,w53,646
GrupoD,w54,646
GrupoD,w55,646
GrupoD,w56,646
GrupoD,w57,646
GrupoD,w58,770
GrupoD,w59,770
GrupoD,w60,770
GrupoD,w61,928
GrupoD,w62,928
GrupoD,w63,38
GrupoD,w64,27
GrupoD,w65,3834
GrupoD,w66,4496
GrupoD,w67,3834
GrupoD,w68,90
GrupoD,w69,54
GrupoD,w70,38
GrupoD,w71,1318
GrupoD,w72,1176
GrupoD,w73,58
GrupoD,w74,1459
GrupoD,w75,82
GrupoD,w76,81
GrupoD,w77,49
GrupoD,w78,55
GrupoI,w03,208
GrupoI,w09,208
GrupoI,w14,264
GrupoI,w68,208
GrupoI,w74,208
GrupoJ,w10,3
GrupoJ,w11,3
GrupoJ,w12,3
GrupoJ,w13,3
GrupoJ,w50,3
GrupoJ,w51,3
GrupoJ,w52,3
GrupoJ,w53,3
GrupoJ,w56,3
GrupoJ,w57,3
GrupoJ,w75,6
GrupoJ,w77,3
GrupoJ,w78,3
GrupoM,w01,213
GrupoM,w02,714
GrupoM,w03,510
GrupoM,w04,207
GrupoM,w05,205
GrupoM,w06,318
GrupoM,w07,152
GrupoM,w08,153
GrupoM,w09,1017
GrupoM,w10,380
GrupoM,w11,322
GrupoM,w12,380
GrupoM,w13,322
GrupoM,w14,153
GrupoM,w15,93
GrupoM,w16,96
GrupoM,w17,320
GrupoM,w18,489
GrupoM,w19,489
GrupoM,w20,658
GrupoM,w21,826
GrupoM,w22,321
GrupoM,w23,829
GrupoM,w24,491
GrupoM,w25,829
GrupoM,w26,1164
GrupoM,w27,659
GrupoM,w28,205
GrupoM,w29,36
GrupoM,w30,375
GrupoM,w31,262
GrupoM,w32,321
GrupoM,w33,320
GrupoM,w34,320
GrupoM,w35,435
GrupoM,w36,435
GrupoM,w37,435
GrupoM,w38,435
GrupoM,w39,663
GrupoM,w40,262
GrupoM,w41,262
GrupoM,w42,262
GrupoM,w43,262
GrupoM,w44,262
GrupoM,w45,262
GrupoM,w46,321
GrupoM,w47,321
GrupoM,w48,321
GrupoM,w49,321
GrupoM,w50,325
GrupoM,w51,325
GrupoM,w52,325
GrupoM,w53,325
GrupoM,w54,321
GrupoM,w55,321
GrupoM,w56,325
GrupoM,w57,325
GrupoM,w58,374
GrupoM,w59,374
GrupoM,w60,374
GrupoM,w61,435
GrupoM,w62,435
GrupoM,w63,230
GrupoM,w64,207
GrupoM,w65,1638
GrupoM,w66,1921
GrupoM,w67,1638
GrupoM,w68,852
GrupoM,w69,34
GrupoM,w70,382
GrupoM,w71,601
GrupoM,w72,545
GrupoM,w73,653
GrupoM,w74,666
GrupoM,w75,606
GrupoM,w76,167
GrupoM,w77,377
GrupoM,w78,489
GrupoO,w01,956
GrupoO,w02,1069
GrupoO,w03,1904
GrupoO,w04,486
GrupoO,w05,534
GrupoO,w06,809
GrupoO,w07,452
GrupoO,w08,452
GrupoO,w09,2438
GrupoO,w10,664
GrupoO,w11,809
GrupoO,w12,664
GrupoO,w13,809
GrupoO,w14,357
GrupoO,w15,274
GrupoO,w16,274
GrupoO,w17,726
GrupoO,w18,870
GrupoO,w19,904
GrupoO,w20,1048
GrupoO,w21,1164
GrupoO,w22,630
GrupoO,w23,1356
GrupoO,w24,1000
GrupoO,w25,1390
GrupoO,w26,1520
GrupoO,w27,986
GrupoO,w28,582
GrupoO,w29,404
GrupoO,w30,712
GrupoO,w31,678
GrupoO,w32,856
GrupoO,w33,939
GrupoO,w34,939
GrupoO,w35,1082
GrupoO,w36,1082
GrupoO,w37,1082
GrupoO,w38,1082
GrupoO,w39,1500
GrupoO,w40,678
GrupoO,w41,678
GrupoO,w42,678
GrupoO,w43,678
GrupoO,w44,678
GrupoO,w45,678
GrupoO,w46,856
GrupoO,w47,856
GrupoO,w48,856
GrupoO,w49,856
GrupoO,w50,856
GrupoO,w51,856
GrupoO,w52,856
GrupoO,w53,856
GrupoO,w54,856
GrupoO,w55,856
GrupoO,w56,856
GrupoO,w57,856
GrupoO,w58,808
GrupoO,w59,808
GrupoO,w60,808
GrupoO,w61,1130
GrupoO,w62,1130
GrupoO,w63,543
GrupoO,w64,536
GrupoO,w65,3712
GrupoO,w66,4116
GrupoO,w67,3712
GrupoO,w68,2012
GrupoO,w69,274
GrupoO,w70,713
GrupoO,w71,1179
GrupoO,w72,1082
GrupoO,w73,924
GrupoO,w74,1501
GrupoO,w75,987
GrupoO,w76,1478
GrupoO,w77,665
GrupoO,w78,795
